full_title,short_title,main_author,library_name,library_city,culinary_focus,edition_year,edition_number,publication_cities,publication_countries,contributors,publishers,edition_category,short_note,language,translated_from,format,pages,has_illustrations,dimensions,price
"Hygiasticon Or, The right course of preserving Life and Health unto extream old Age; Together with soundnesse and integritie of the Senses, Judgement, and Memorie. Written in Latine by Leonard Lessius, and now done into English.",Hygiasticon,Leonard Lessius,,,,1634.0,2.0,,,Leonard Lessius (Author),,Translation,,English,Latin,Unknown,,,,
"THE LADIES CABINET OPENED: Wherein is found hidden severall Experiments in Preserving and Conserving, Physicke, and Surgery, Cookery and Huswifery.",The Ladies Cabinet Opened,Anonymous,,,,1639.0,1.0,,,Anonymous (Author); M. P. (Printer); Richard Meighen (Publisher),,Original,,English,Unknown,Folio,,,,
"THE LADIES CABINET OPENED: Wherein is found hidden severall Experiments in Preserving and Conserving, Physicke, and Surgery, Cookery and Huswifery.",The Ladies Cabinet Opened,Anonymous,,,,1654.0,,,,Lord Ruthven (Compiler); T. M. (Printer); G. Bedell (Publisher); T. Collins (Publisher); M. M. (Publisher),,Enlarged Edition,,English,Unknown,Duodecimo,,True,,
"A PRECIOUS TREASURY OF TWENTY RARE SECRETS, Most Necessary, Pleasant, and Profitable for all sorts of People.",A Precious Treasury of Twenty Rare Secrets,La Fountaine,,,,1649.0,,,,La Fountaine (Publisher),,Original,,English,Unknown,Quarto,4.0,,,
"A HERMETICALL BANQUET, drest by a Spagiricall Cook: for the better Preservation of the Microcosme.",A Hermeticall Banquet,Anonymous,,,,1652.0,,,,Andrew Crooke (Publisher),,Original,,English,Unknown,Unknown,,,,
"A CHOICE MANUALL, of Rare and Select Secrets in Physick and Chirurgery: collected, and practised by the Right Honourable, the Countesse of Kent, late deceased. As also most Exquisite ways of Preserving, Conserving, Candying, &c.",A Choice Manuall,Elizabeth Grey,,,,1653.0,1.0,,,Elizabeth Grey (Author); R. Norton (Printer),,Original,,English,Unknown,Octavo,,True,,
"A TRUE GENTLEWOMANS DELIGHT, Wherein is contained all manner of Cookery:- Preserving,- Conserving,- Drying, and- Candying, Very necessary for all Ladies and Gentlewomen.",A True Gentlewomans Delight,W. Jar.,,,,1653.0,,,,W. Jar. (Author); R. Norton (Printer),,Original,,English,Unknown,Octavo,,True,,
"THE FRENCH COOK. Prescribing the way of making ready of all sorts of Meats, Fish and Flesh ... Written in French by Monsieur De La Varenne ... and now Englished by I. D. G.",The French Cook (English translation of Le Cuisinier françois),Monsieur De La Varenne,,,,1653.0,1.0,,,Monsieur De La Varenne (Author); I. D. G. (Translator); Charles Adams (Publisher),,Translation,,English,French,Unknown,,True,,
"A BOOK OF FRUITS AND FLOWERS. Shewing the Nature and Use of them, either for Meat or Medicine. As also to Preserve, Conserve, Candy, and in Wedges, or Dry them.",A Book of Fruits and Flowers,Anonymous,,,,1653.0,,,,M. S. (Printer); Tho. Jenner (Publisher),,Original,,English,Unknown,Quarto,49.0,True,,
"THE ART OF COOKERY. Refin'd and Augmented, containing an Abstract of some rare and rich unpublished Receipts of Cookery: Collected from the practice of that incomparable Master of these Arts, Mr. Jos. Cooper, chiefe Cook to the late King ...",The Art of Cookery,Anonymous,,,,1654.0,,,,Jos. Cooper (Contributor); F. G. (Printer); R. Lowndes (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE LADIES COMPANION, or, A Table furnished with sundry sorts of Pies and Tarts ... By Persons of quality whose names are mentioned.",The Ladies Companion,Various (named contributors),,,,1654.0,,,,W. Bentley (Printer); W. Shears (Publisher),,Compilation,,English,Unknown,Unknown,82.0,,,
"THE QUEENS CLOSET OPENED Incomparable Secrets in Physick, Chirurgery, Preserving and Candying, and Cookery; as they were presented to the Queen, By the most experienced Persons of our Times ... Transcribed from the true Copies of her Majesties own Receipt Books, by W. M., one of her late servants.",The Queens Closet Opened,W. M.,,,,1655.0,1.0,,,W. M. (Compiler); Nathaniel Brook (Publisher),,Original,,English,Unknown,Unknown,,True,,
"HEALTHS IMPROVEMENT: or, Rules Comprizing and Discovering the Nature, Method, and Manner of Preparing all sorts of food used in this nation. Written by that ever Famous Thomas Muffett, Doctor in Physick; Corrected and Enlarged by Christopher Bennett, Doctor in Physick ...",Healths Improvement,Thomas Muffett,,,,1655.0,,,,Thomas Muffett (Author); Christopher Bennett (Contributor); Tho. Newcomb (Printer); Samuel Thomson (Publisher),,Revised Edition,,English,Unknown,Unknown,,,,
THE PERFECT COOK. Being the most exact directions for the making all kind of Pastes ... By Mounsieur Marnette.,The Perfect Cook,Mounsieur Marnette,,,,1656.0,,,,Mounsieur Marnette (Author); Nath. Brooks (Publisher),,Original,,English,French,Unknown,,True,,
"ARCHIMAGIRUS ANGLO-GALLICUS: Excellent & approved Receipts and Experiments in Cookery Together with the best way of Preserving. As also, Rare Formes of Sugar-works: According to the French Mode, and English Manner. Copied from a choice Manuscript of Sir Theodore Mayerne Knight, Physician to the late K. Charles.",Archimagirus Anglo-Gallicus,Anonymous (compiler after Sir Theodore Turquet de Mayerne),,,,1658.0,,,,Sir Theodore Turquet de Mayerne (Contributor); G. Bedell (Publisher); T. Collins (Publisher),,Compilation,,English,Unknown,Unknown,,,,
"THE ACCOMPLISHT COOK, Or the Art and Mystery of Cookery. Wherein the whole Art is revealed in a more easie and perfect Method ... Approved by the fifty years experience and industry of Robert May.",The Accomplisht Cook,Robert May,,,,1660.0,1.0,,,Robert May (Author); R. W. (Printer); Nath. Brooke (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE WHOLE BODY OF COOKERY DISSECTED ... Or, a Sympathie of all varieties in Naturall Compounds in that Mysterie. Wherein is contained certain Bills of Fare for the Seasons ... By William Rabisha.",The Whole Body of Cookery Dissected,William Rabisha,,,,1661.0,1.0,,,William Rabisha (Author); R. W. (Printer); Giles Calvert (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE LADIES DIRECTORY, In Choice Experiments & Curiosities of Preserving and Candying both Fruits & Flowers. Also an Excellent way of making Cakes and other Comfits ... By Hanna Woolley.",The Ladies Directory,Hannah Woolley,,,,1661.0,1.0,,,Hannah Woolley (Author); Tho. Milbourn (Printer),,Original,,English,Unknown,Unknown,,True,,
"A BOOK OF KNOWLEDGE In three parts, &c., &c. Composed by Samuel Strangehopes.",A Book of Knowledge,Samuel Strangehopes,,,,1663.0,,,,Samuel Strangehopes (Author); Charles Tyns (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COOKS GUIDE: or, Rare Receipts for Cookery. Published and set forth particularly for Ladies and Gentlewomen ... By Hannah Wolley.",The Cooks Guide,Hannah Wolley,,,,1664.0,,,,Hannah Woolley (Author); Peter Dring (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COURT & KITCHIN of Elizabeth, Commonly called Joan Cromwel, The Wife of the late Usurper, Truly Described and Represented, And now made Publick for General Satisfaction.",The Court & Kitchin of Elizabeth (Joan Cromwel),Anonymous,,,,1664.0,,,,Tho. Milbourn (Printer); Randal Taylor (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE GENTLEWOMANS CABINET UNLOCKED, Wherein is contained many excellent Receipts for neat Dressing of divers sorts of Meats ...",The Gentlewomans Cabinet Unlocked,Anonymous,,,,1664.0,,,,,,Compilation,,English,Unknown,Octavo,,,,
"CHOICE AND EXPERIMENTED RECEIPTS In Physick and Chirurgery, as also Cordial and Distilled Waters and Spirits, Perfumes, and other Curiosities, Collected by Sir Kenelm Digby.",Choice and Experimented Receipts,Sir Kenelm Digby,,,,1668.0,1.0,,,Sir Kenelm Digby (Author); H. Brome (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE CLOSET OF THE EMINENTLY LEARNED SIR KENELME DIGBY, KT., OPENED: Whereby is Discovered several Ways for making of Metheglin, Sider, Cherry-Wine, together with Excellent Directions for Cookery ...",The Closet of Sir Kenelm Digby,Sir Kenelm Digby,,,,1669.0,1.0,,,Sir Kenelm Digby (Author); E. C. (Printer); H. Brome (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE QUEEN-LIKE CLOSET or Rich Cabinet: Stored with all manner of Rare Receipts for Preserving, Candying and Cookery. Very Pleasant and Beneficial to all Ingenious Persons of the Female Sex. By Hannah Wolley.",The Queen-Like Closet,Hannah Woolley,,,,1670.0,1.0,,,Hannah Woolley (Author); R. Lowndes (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE LADIES DELIGHT, or, a Rich Closet of Choice Experiments & Curiosities, containing the Art of Preserving & Candying both Fruits and Flowers: Together with The Exact Cook ... By Hannah Woolley.",The Ladies Delight,Hannah Woolley,,,,1672.0,,,,Hannah Woolley (Author); E. Milbourn (Printer); N. Crouch (Publisher),,Compilation,,English,Unknown,Unknown,,True,,
"THE GENTLEWOMANS COMPANION Or, a guide to the Female Sex ... Whereunto is added, a Guide for Cook-maids, Dairy-maids, Chamber-maids, and all others that go to Service. By Hannah Woolley.",The Gentlewomans Companion,Hannah Woolley,,,,1673.0,1.0,,,Hannah Woolley (Author); A. Maxwell (Printer); Dorman Newman (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE ENGLISH AND FRENCH COOK Describing the best and newest ways of ordering and dressing all sorts of Flesh, Fish, and Fowl ... By T. P., J. P., R. C., N. B., and several other approved Cooks of London and Westminster.",The English and French Cook,T. P.; J. P.; R. C.; N. B. (collective),,,,1674.0,,,,T. P. (Author); Simon Miller (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE ACCOMPLISH'D LADY'S DELIGHT In Preserving, Physick, Beautifying, and Cookery ... The Compleat Cooks Guide ... By T. P.",The Accomplish'd Lady's Delight,T. P.,,,,1675.0,1.0,,,T. P. (Author); B. Harris (Publisher),,Original,,English,Unknown,Unknown,,True,,
"KITCHIN-PHYSICK: By way of Dialogue betwixt Philanthropos, Eugenius, Lazarus ... With Rules and Directions, how to prevent Sickness, and cure Diseases by Dyet ... The preface is signed Thomas Cocke.",Kitchin-Physick,Thomas Cocke,,,,1676.0,,,,Thomas Cocke (Author); T. Basset (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE PLAIN DEALING POULTERER: or, A Poulterer’s Shop Opened: With All Sorts of Ware, and how to know the Young from the Old, being Dead or Alive.",The Plain Dealing Poulterer,Anonymous,,,,1677.0,,,,,,Original,,English,Unknown,Unknown,,,,
THIS IS THE BOKE OF COKERY Here beginneth a noble boke of festes royalle and Cokery a boke for a pryncis housholde or any other estates; and the makynge therof as ye shall fynde more playnly within this boke.,This is the Boke of Cokery,Anonymous,,,,1500.0,,,,Anonymous (Author); Richard Pynson (Printer),,Original,,English,Unknown,Unknown,,,,
HERE BEGYNNETH THE BOKE OF KERVYNGE. Here endeth the boke of servyce and kervynge and sewynge and all maner of offyce in his kynde unto a prynce or ony other estate and all the feestes in the yere.,The Boke of Kervynge,Anonymous,,,,1508.0,,,,Anonymous (Author); Wynkyn de Worde (Printer),,Original,,English,Unknown,Quarto,,,,
HERE BEGYNNETH THE BOKE OF KERVYNGE. Here endeth the boke of servyce and kervynge and sewynge and all maner of offyce in his kynde unto a prynce or ony other estate and all the feestes in the yere.,The Boke of Kervynge,Anonymous,,,,1513.0,,,,Anonymous (Author); Wynkyn de Worde (Printer),,Reprint,,English,Unknown,Quarto,,,,
THE TREASURE OF POORE MEN,The Treasure of Poore Men,Anonymous,,,,1539.0,,,,Anonymous (Author),,Original,,English,Unknown,Unknown,44.0,,,
"THE CASTEL OF HELTHE Gathered, and made by Sir Thomas Elyot knight, out of the chief authors of Physyke, whereby every man may knowe the state of his owne body, the preservation of helthe, and How to instruct well his phisition in sicknes, that he be not deceyved.",The Castel of Helthe,Sir Thomas Elyot,,,,1539.0,,,,Sir Thomas Elyot (Author),,Original,,English,Unknown,Unknown,,,,
"A PROPER NEWE BOOKE OF COKERYE declarynge what maner of meates be beste in season, for al times in the yere, and how they ought to be dressed, and served at the table, both for fleshe dayes, and fyshe dayes. With a newe addition, verye necessarye for all them that delyghteth in Cokerye.",A Proper Newe Booke of Cokerye,Anonymous,,,,1545.0,,,,Anonymous (Author); John Kynge (Printer); Thomas Marche (Printer),,Original,,English,Unknown,Unknown,,,,
"THE SECRETS OF THE REVERENDE MAISTER ALEXIS OF PIEMONT Containyng excellente remedies against divers diseases, woundes, and other accidents, with the manner to make distilations, parfumes, confitures, diyinges, colours, fusions and meltynges.",The Secrets of Alexis of Piemont,Anonymous,,,,1558.0,,,,Anonymous (Author); Wyllyam Warde (Translator); John Kingstone (Printer); Nicolas Inglande (Publisher),,Translation,,English,French,Unknown,,,,
"A COMPEDYOUS REGYMENT OR A DYETARY OF HELTH, made in Moñtypilior: compiled by Andrewe Boorde, of Physicke Doctor.",A Compendyous Regyment or a Dyetary of Helth,Andrewe Boorde,,,,1562.0,,,,Andrewe Boorde (Author),,Original,,English,Unknown,Unknown,,,,
"THE TREASURIE OF COMMODIOUS CONCEITES, AND HIDDEN SECRETS. Commonly called The Good Huswives Closet of provision for the health of her houshold.",The Treasurie of Commodious Conceites (The Good Huswives Closet),John Partridge,,,,1573.0,,,,John Partridge (Author); Richard Jones (Printer),,Original,,English,Unknown,Duodecimo,,,,None None
"THE TREASURIE OF COMMODIOUS CONCEITES, AND HIDDEN SECRETS. Commonly called The Good Huswives Closet of provision for the health of her houshold.",The Treasurie of Commodious Conceites (The Good Huswives Closet),John Partridge,,,,1600.0,,,,John Partridge (Author); J R for Edward White (Publisher),,Reprint,,English,Unknown,Quarto,,,,
"A DIRECTION FOR THE HEALTH OF MAGISTRATES AND STUDENTES. Written in Latin by Gulielmus Gratarolus, and Englished by T. N.",A Direction for the Health of Magistrates and Studentes,Gulielmus Gratarolus,,,,1574.0,,,,Gulielmus Gratarolus (Author); T. N. (Translator); William How (Printer); Abraham Veale (Publisher),,Translation,,English,Latin,Unknown,,,,
"A COMPENDIUM OF THE RATIONALL SECRETES of the worthie Knight and moste excellent Doctour of Phisicke and Chirurgerie, Leonardo Fioravante Bolognese, divided into three Bookes.",A Compendium of the Rationall Secretes,Leonardo Fioravante,,,,1582.0,,,,Leonardo Fioravante (Author); John Hester (Translator); Jhon Kyngston (Printer); George Pen (Publisher),,Translation,,English,Italian,Unknown,,,,
THE SCHOOLMASTER or Teacher of Table Philosophie. A most pleasant and merie Companion...,The Schoolmaster (Teacher of Table Philosophie),Thomas Twyne,,,,1583.0,,,,Thomas Twyne (Author); Richard Johnes (Printer),,Original,,English,Unknown,Unknown,,,,
"THE GOOD HUSWIFES JEWELL. Wherein is to be found most excellent and rare Devises for conceites in Cookery, found out by the practise of Thomas Dawson.",The Good Huswifes Jewell,Thomas Dawson,,,,1585.0,,,,Thomas Dawson (Author); Edward White (Publisher),,Original,,English,Unknown,Duodecimo,52.0,,,
THE SECOND PART OF THE GOOD HUS-WIFES JEWELL,The Second Part of the Good Huswives Jewell,Thomas Dawson,,,,1585.0,,,,Thomas Dawson (Author); Edward White (Publisher),,Original,,English,Unknown,Unknown,72.0,,,
THE SECOND PART OF THE GOOD HUS-WIFES JEWELL,The Second Part of the Good Huswives Jewell,Thomas Dawson,,,,1597.0,,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE OLDE MANS DIETARIE. Englished out of Latine, and now first published by Thomas Newton.",The Olde Mans Dietarie,Anonymous,,,,1586.0,,,,Thomas Newton (Translator); Edward White (Publisher),,Translation,,English,Latin,Unknown,,,,
"THE HOUSEHOLDERS PHILOSOPHIE Wherein is perfectly & profitably described, the true Oeconomia and forme of Housekeeping. First written in Italian by Signior Torquato Tasso, and now translated by T. K.",The Householders Philosophie (Il Padre di Famiglia),Torquato Tasso,,,,1588.0,,,,Torquato Tasso (Author); T. K. (Translator); F. C. (Printer); Thomas Hacket (Publisher),,Translation,,English,Italian,Unknown,,,,
THE GOOD HOUS-WIVES TREASURIE Beeing a verye necessarie Booke instructing to the dressing of Meates. Hereunto is also annexed sundrie holsome Medicines for divers diseases.,The Good Hous-wives Treasurie,Anonymous,,,,1588.0,,,,Edward Allde (Printer),,Original,,English,Unknown,Duodecimo,,,,
"A BOOK OF COOKRY Very necessary for all such as delight therin. Gathered by A. W. And now newlye enlarged, with the serving in of the Table. With the proper Sauces to each of them convenient.",A Book of Cookry,A. W.,,,,1591.0,,,,A. W. (Author); Edward Allde (Printer),,Original,,English,Unknown,Duodecimo,,,,
"A BOOK OF COOKRY Very necessary for all such as delight therin. Gathered by A. W. And now newlye enlarged, with the serving in of the Table. With the proper Sauces to each of them convenient.",A Book of Cookry,A. W.,,,,1594.0,2.0,,,A. W. (Author),,Reprint,,English,Unknown,Duodecimo,,,,
"THE GOOD HUSWIFES HANDMAIDE FOR THE KITCHIN. Containing manie principall pointes of Cookeric, as well how to dresse meates, after sundrie the best fashions used in England and other Countries, with their apt and proper sawces.",The Good Huswifes Handmaide for the Kitchin,Anonymous,,,,1594.0,,,,Anonymous (Author); Richard Jones (Printer),,Original,,English,Unknown,Duodecimo,55.0,,,
"A BOOKE OF COOKERIE, Otherwise called: The good Huswives Handmaid for the kitchin. Wherein is shewed the order how to dresse meates after sundry the best fashions used in England and other Countries.",A Booke of Cookerie (1597),Anonymous,,,,1597.0,,,,Anonymous (Author); E. Allde (Printer),,Reprint,,English,Unknown,Unknown,,,,
"THE WIDDOWES TREASURE. Plentifully furnished with sundry precious and approved secrets in Phisicke and Chirurgery... Hereunto are adjoyned, sundrie prittie practices and conclusions of Cookerle.",The Widdowes Treasure,Anonymous,,,,1595.0,,,,Anonymous (Author); J. Roberts (Printer); Edward White (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE WIDDOWES TREASURE. Plentifully furnished with sundry precious and approved secrets in Phisicke and Chirurgery... Hereunto are adjoyned, sundrie prittie practices and conclusions of Cookerle.",The Widdowes Treasure,Anonymous,,,,1631.0,,,,,,Reprint,,English,Unknown,Unknown,,,,
A THOUSAND NOTABLE THINGS of sundry sorts by Thomas Lupton.,A Thousand Notable Things,Thomas Lupton,,,,1595.0,,,,Thomas Lupton (Author); John Charlewood (Printer); Hughe Spooner (Publisher),,Original,,English,Unknown,Unknown,,,,
"EPULARIO, or The Italian Banquet: Wherein is shewed the maner how to dresse and prepare all kind of Flesh, Foules, or Fishes. Translated out of Italian into English.",Epulario (The Italian Banquet),Giovanne de Rosselli,,,,1598.0,,,,Giovanne de Rosselli (Author); A. J. (Printer); William Bailey (Publisher),,Translation,,English,Italian,Unknown,,,,
"DYETS DRY DINNER: Consisting of eight severall Courses... By Henry Buttes, Maister of Artes, and Fellowe of C.C.C.",Dyets Dry Dinner,Henry Buttes,,,,1599.0,,,,Henry Buttes (Author); Tho. Creede (Printer); William Wood (Publisher),,Original,,English,Unknown,Unknown,,,,
"NATURALL AND ARTIFICIAL DIRECTIONS For health, derived from the best Philosophers, as well moderne, as auncient. By William Vaughan.",Naturall and Artificial Directions,William Vaughan,,,,1600.0,,,,William Vaughan (Author); Richard Bradocke (Printer),,Original,,English,Unknown,Unknown,,,,
"DELIGHTES FOR LADIES, To adorn their Persons, Tables, Closets, and Distillatories; with Beauties, Banquets, Perfumes, & Waters. By H. Plat (Hugh Plat).",Delightes for Ladies,Hugh Plat,,,,1600.0,,,,Hugh Plat (Author); Peter Short (Printer),,Original,,English,Unknown,Duodecimo,,,,
"DELIGHTES FOR LADIES, To adorn their Persons, Tables, Closets, and Distillatories; with Beauties, Banquets, Perfumes, & Waters. By H. Plat (Hugh Plat).",Delightes for Ladies,Hugh Plat,,,,1602.0,2.0,,,,,Reprint,,English,Unknown,Duodecimo,,,,
"THE ENGLISHMAN'S DOCTER, OR THE SCHOOLE OF SALERNE, or, Physicall observations for the perfect Preserving of the body of Man in continuall Health. (Translation of the Latin poem and commentary).",The Englishman's Docter (School of Salerne),Arnaldus de Villa Nova (commentary); traditional attribution to the School of Salerno,,,,1607.0,,,,Arnaldus de Villa Nova (Commentator); T. Paynell (Translator); John Helme (Printer); John Busby Junior (Publisher),,Translation,,English,Latin,Unknown,,,,
"A CLOSET FOR LADIES AND GENTLEWOMEN, or, The Art of preserving, Conserving, and Candying. With the manner howe to make divers kinds of Syrups: and all kind of banqueting stuffes.",A Closet for Ladies and Gentlewomen,Attributed to Hugh Plat (anonymous in text),,,,1608.0,,,,Anonymous (Author); Arthur Johnson (Publisher),,Original,,English,Unknown,Duodecimo,190.0,,,
THE PHILOSOPHERS BANQUET. Newly furnished and decked forth with much variety of many severall Dishes.,The Philosophers Banquet,W. B.,,,,1614.0,2.0,,,W. B. (Author); T. C. (Printer); Leonard Becket (Publisher),,Revised Edition,,English,Unknown,Unknown,,,,
"THE ENGLISH HUS-WIFE Contayning, The inward and outward vertues which ought to be in a compleat woman. As, her skill in Physicke, Cookery, Banqueting-stuffe, Distillation, Perfumes, Wooll, Hemp, Flax, Dayries, Brewing, Baking, and all other things belonging to an Houshould. By Gervase Markham.",The English Hus-wife,Gervase Markham,,,,1615.0,,,,Gervase Markham (Author); John Beale (Printer); Roger Jackson (Publisher),,Original,,English,Unknown,Unknown,,,,
"A DAILY EXERCISE FOR LADIES AND GENTLEWOMEN. Whereby they may learne and practise the whole Art of making Pastes, Preserves, Marmalades, Conserves, Tart-stuffes, Gellies, Breads, Sucket-Candies, Cordiall waters, Conceits in Sugar-workes of several kindes. By John Murrel.",A Daily Exercise for Ladies and Gentlewomen,John Murrel,,,,1617.0,,,,John Murrel (Author); Widow Helme (Publisher),,Original,,English,Unknown,Duodecimo,,,,10.3125 £
"A NEW BOOK OF COOKERIE. Wherein is set forth a most perfect direction to furnish an extraordinary, or ordinary feast... By John Murrell.",A New Book of Cookerie,John Murrell,,,,1617.0,,,,John Murrell (Author); John Browne (Publisher),,Original,,English,Unknown,Octavo,,,,
"A BOOKE OF COOKERIE. And the order of Meates to bee served to the Table, both for Flesh and Fish dayes. (Abbreviated edition of Thomas Dawson's Good Huswifes Jewell).",A Booke of Cookerie (1620),Thomas Dawson,,,,1620.0,,,,Thomas Dawson (Author); Edw. All-de (Printer),,Reprint,,English,Unknown,Unknown,,,,
"VIA RECTA AD VITAM LONGAM by Tobias Venner, Doctor of Physicke.",Via Recta ad Vitam Longam,Tobias Venner,,,,1620.0,,,,Tobias Venner (Author); Edward Griffin (Printer); Richard Moore (Publisher),,Original,,English,Unknown,Unknown,,,,
A DELIGHTFULL DAILY EXERCISE FOR LADIES AND GENTLEWOMEN. Whereby is set foorth the secrete misteries of the purest preservings in Glasses and other Confectionaries... By John Murrell.,A Delightfull Daily Exercise for Ladies and Gentlewomen,John Murrell,,,,1621.0,,,,John Murrell (Author); Tho. Dewe (Publisher),,Original,,English,Unknown,Duodecimo,,,,
MURRELS TWO BOOKES OF COOKERIE AND CARVING. The fourth time printed with new Additions.,Murrel's Two Bookes of Cookerie and Carving,John Murrel,,,,1631.0,4.0,,,John Murrel (Author); M. F. (Printer); John Marriot (Publisher),,Revised Edition,,English,Unknown,Unknown,,,,
MADAM JOHNSON’S PRESENT,Madam Johnson’s Present,Anonymous,,,,1759.0,2.0,,,Anonymous (Author),,Reprint,,English,Unknown,Unknown,,,,
